price,Empfohlenes Alter in Jahren (mind.),Anzahl Teile,Verpackungsbreite,Verpackungstiefe,Verpackungshöhe,Ursprungsland_ Ungarn ,Ursprungsland_ China ,Ursprungsland_ Tschechische Republik ,LegoCategory_Rare,LegoCategory_LEGO City ,LegoCategory_LEGO Duplo ,LegoCategory_LEGO Star Wars ,LegoCategory_LEGO Super Mario ,LegoCategory_LEGO Friends 
36.95,4.0,157.0,191.0,262.0,46.0,0,1,0,1,0,0,0,0,0
54.95,7.0,312.0,222.0,262.0,76.0,0,0,1,1,0,0,0,0,0
54.95,4.0,790.0,262.0,370.0,180.0,0,0,1,1,0,0,0,0,0
24.95,6.0,198.0,191.0,262.0,46.0,0,0,1,1,0,0,0,0,0
54.95,9.0,592.0,191.0,354.0,70.0,0,0,1,1,0,0,0,0,0
69.95,8.0,494.0,262.0,382.0,56.5,1,0,0,1,0,0,0,0,0
379.0,18.0,2065.0,582.0,480.0,91.0,0,1,0,1,0,0,0,0,0
159.0,18.0,1476.0,378.0,480.0,112.0,1,0,0,1,0,0,0,0,0
629.0,18.0,9036.0,262.0,317.0,70.5,0,0,1,1,0,0,0,0,0
39.95,4.0,130.0,191.0,262.0,61.0,0,1,0,1,0,0,0,0,0
18.95,6.0,139.0,157.0,141.0,45.0,0,0,1,0,0,0,1,0,0
149.0,2.0,105.0,480.0,582.0,124.0,0,0,1,0,0,1,0,0,0
299.0,18.0,2646.0,480.0,582.0,124.0,1,0,0,0,0,0,0,1,0
539.0,18.0,3854.0,480.0,582.0,170.0,0,0,0,1,0,0,0,0,0
99.0,9.0,1038.0,282.0,540.0,59.0,1,0,0,1,0,0,0,0,0
59.95,18.0,608.0,382.0,262.0,70.5,1,0,0,1,0,0,0,0,0
17.95,1.5,1.0,435.0,385.0,6.0,0,0,0,0,0,1,0,0,0
169.0,7.0,815.0,378.0,582.0,118.0,0,0,1,0,1,0,0,0,0
169.0,12.0,2010.0,378.0,582.0,103.0,1,0,0,0,0,0,0,0,1
59.95,10.0,476.0,354.0,191.0,70.0,0,0,1,1,0,0,0,0,0
59.95,9.0,672.0,262.0,382.0,70.5,0,0,1,1,0,0,0,0,0
36.95,7.0,348.0,262.0,317.0,70.5,0,0,1,0,0,0,0,0,1
17.95,4.0,1.0,438.0,387.0,3.0,0,0,0,1,0,0,0,0,0
29.95,7.0,253.0,262.0,191.0,61.0,0,0,1,1,0,0,0,0,0
16.95,7.0,348.0,262.0,317.0,70.5,0,0,1,1,0,0,0,0,0
4.95,7.0,348.0,262.0,317.0,70.5,0,0,1,1,0,0,0,0,0
4.95,6.0,87.0,262.0,317.0,70.5,0,0,1,0,0,0,1,0,0
159.0,3.0,218.0,480.0,582.0,124.0,0,1,0,0,0,1,0,0,0
26.95,7.0,244.0,141.0,262.0,91.0,0,1,0,1,0,0,0,0,0
179.0,16.0,1471.0,480.0,118.0,282.0,0,0,1,1,0,0,0,0,0
119.0,9.0,868.0,282.0,540.0,78.5,1,0,0,1,0,0,0,0,0
46.95,7.0,282.0,191.0,262.0,61.0,0,0,1,0,0,0,1,0,0
26.95,7.0,212.0,141.0,262.0,91.0,0,1,0,1,0,0,0,0,0
54.95,6.0,370.0,191.0,354.0,70.0,1,0,0,1,0,0,0,0,0
119.0,7.0,1045.0,378.0,480.0,94.0,1,0,0,0,1,0,0,0,0
84.95,18.0,854.0,354.0,191.0,118.0,0,0,1,0,0,0,1,0,0
39.95,8.0,390.0,191.0,354.0,70.0,1,0,0,1,0,0,0,0,0
119.0,7.0,842.0,378.0,480.0,70.5,0,1,0,0,1,0,0,0,0
24.95,7.0,215.0,191.0,262.0,46.0,0,0,1,1,0,0,0,0,0
26.95,7.0,260.0,141.0,262.0,91.0,0,1,0,1,0,0,0,0,0
99.0,9.0,764.0,378.0,354.0,70.5,1,0,0,1,0,0,0,0,0
84.95,18.0,584.0,354.0,191.0,91.0,0,0,0,0,0,0,1,0,0
189.0,11.0,2017.0,378.0,582.0,118.0,0,1,0,1,0,0,0,0,0
39.95,8.0,316.0,222.0,262.0,76.0,0,0,1,1,0,0,0,0,0
299.0,16.0,4002.0,480.0,582.0,170.0,0,0,1,1,0,0,0,0,0
32.95,7.0,280.0,141.0,262.0,72.0,0,0,1,1,0,0,0,0,0
59.95,18.0,812.0,262.0,382.0,56.5,1,0,0,1,0,0,0,0,0
42.95,2.0,22.0,191.0,354.0,70.0,0,1,0,0,0,1,0,0,0
54.95,6.0,436.0,262.0,382.0,70.5,0,0,1,0,1,0,0,0,0
46.95,8.0,285.0,191.0,262.0,46.0,0,0,1,0,0,0,1,0,0
36.95,4.0,484.0,179.0,369.5,180.0,0,0,1,1,0,0,0,0,0
99.0,4.0,498.0,378.0,354.0,94.0,0,1,0,1,0,0,0,0,0
74.95,6.0,231.0,262.0,317.0,90.0,0,0,1,0,0,0,0,1,0
18.95,6.0,88.0,122.0,141.0,46.0,0,1,0,0,0,0,1,0,0
42.95,7.0,274.0,262.0,191.0,61.0,0,0,1,1,0,0,0,0,0
24.95,5.0,197.0,191.0,262.0,72.0,0,0,1,0,1,0,0,0,0
79.95,9.0,412.0,262.0,382.0,56.5,0,1,0,0,0,0,1,0,0
39.95,8.0,258.0,61.0,191.0,262.0,0,0,1,1,0,0,0,0,0
169.0,9.0,989.0,378.0,480.0,70.5,0,1,0,1,0,0,0,0,0
299.0,18.0,2807.0,124.0,582.0,480.0,1,0,0,0,0,0,0,1,0
54.95,6.0,433.0,262.0,382.0,56.5,1,0,0,0,1,0,0,0,0
