,price,price,price,price,price,price,price,price,Empfohlenes Alter in Jahren (mind.),Empfohlenes Alter in Jahren (mind.),Empfohlenes Alter in Jahren (mind.),Empfohlenes Alter in Jahren (mind.),Empfohlenes Alter in Jahren (mind.),Empfohlenes Alter in Jahren (mind.),Empfohlenes Alter in Jahren (mind.),Empfohlenes Alter in Jahren (mind.),Empfohlenes Alter in Jahren (max.),Empfohlenes Alter in Jahren (max.),Empfohlenes Alter in Jahren (max.),Empfohlenes Alter in Jahren (max.),Empfohlenes Alter in Jahren (max.),Empfohlenes Alter in Jahren (max.),Empfohlenes Alter in Jahren (max.),Empfohlenes Alter in Jahren (max.),Anzahl Teile,Anzahl Teile,Anzahl Teile,Anzahl Teile,Anzahl Teile,Anzahl Teile,Anzahl Teile,Anzahl Teile,Verpackungsbreite,Verpackungsbreite,Verpackungsbreite,Verpackungsbreite,Verpackungsbreite,Verpackungsbreite,Verpackungsbreite,Verpackungsbreite,Verpackungstiefe,Verpackungstiefe,Verpackungstiefe,Verpackungstiefe,Verpackungstiefe,Verpackungstiefe,Verpackungstiefe,Verpackungstiefe,Verpackungshöhe,Verpackungshöhe,Verpackungshöhe,Verpackungshöhe,Verpackungshöhe,Verpackungshöhe,Verpackungshöhe,Verpackungshöhe,Paketgewicht,Paketgewicht,Paketgewicht,Paketgewicht,Paketgewicht,Paketgewicht,Paketgewicht,Paketgewicht
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
cluster_predict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,178.0,116.38932584269665,39.15789634123146,36.95,89.95,119.0,139.0,299.0,178.0,9.991573033707866,4.740281380686411,1.5,7.0,9.0,12.0,18.0,178.0,97.45505617977528,11.840784743004129,5.0,99.0,99.0,99.0,99.0,178.0,906.814606741573,361.69779252681514,59.0,731.25,871.0,1096.75,2651.0,178.0,321.7584269662921,69.98135798416743,70.5,282.0,282.0,378.0,480.0,178.0,452.6825842696629,93.41654833533691,118.0,382.0,480.0,480.0,582.0,178.0,90.05337078651685,37.6218354509439,56.5,70.5,78.5,94.0,378.0,178.0,1459.4662921348315,447.27586185426276,600.0,1110.0,1390.0,1725.0,3450.0
1,58.0,230.99913793103448,70.32738011600206,84.95,169.0,229.0,269.0,459.0,58.0,16.310344827586206,3.3309126116390813,6.0,18.0,18.0,18.0,18.0,58.0,99.0,0.0,99.0,99.0,99.0,99.0,99.0,58.0,2315.7241379310344,645.2050889256528,1476.0,1905.75,2112.0,2655.0,4249.0,58.0,416.4655172413793,99.22263032708824,118.0,378.0,378.0,480.0,582.0,58.0,507.01724137931035,104.2612258046662,124.0,480.0,582.0,582.0,620.0,58.0,124.54310344827586,80.21114047852893,50.0,91.75,112.0,124.0,480.0,58.0,2810.5,792.3684959242975,589.0,2410.0,2765.0,3320.0,4260.0
2,5.0,533.0,164.5600194457937,329.0,429.0,529.0,629.0,749.0,5.0,16.8,1.7888543819998317,14.0,16.0,18.0,18.0,18.0,5.0,99.0,0.0,99.0,99.0,99.0,99.0,99.0,5.0,8481.2,2604.9109773656373,5511.0,6163.0,9036.0,10001.0,11695.0,5.0,286.4,54.56005865099487,262.0,262.0,262.0,262.0,384.0,5.0,364.0,105.09519494249011,317.0,317.0,317.0,317.0,552.0,5.0,86.8,36.44790803324657,70.5,70.5,70.5,70.5,152.0,5.0,1586.0,2204.763025814793,600.0,600.0,600.0,600.0,5530.0
3,632.0,44.51123417721519,44.526657647566765,3.0,17.95,32.95,54.95,489.0,632.0,6.425632911392405,2.5262503758939547,1.5,5.0,7.0,7.0,23.0,632.0,98.15189873417721,8.675650180608367,5.0,99.0,99.0,99.0,99.0,632.0,270.7990506329114,188.88603075398208,1.0,109.75,274.5,348.0,1226.0,632.0,218.6115506329114,63.936098566998176,6.5,191.0,262.0,262.0,480.0,632.0,277.93196202531647,88.84179990883426,78.0,208.75,282.0,317.0,582.0,632.0,68.51582278481013,32.957756224597375,3.0,56.5,70.0,70.5,354.0,632.0,459.9778481012658,235.62372865512958,10.0,281.0,505.5,600.0,1160.0
4,17.0,550.7647058823529,189.97484353584971,299.0,419.0,499.0,599.0,949.0,17.0,16.823529411764707,2.5552713681145263,8.0,16.0,18.0,18.0,18.0,17.0,99.0,0.0,99.0,99.0,99.0,99.0,99.0,17.0,4819.529411764706,1430.5118890473725,2883.0,3756.0,4002.0,6020.0,7541.0,17.0,476.52941176470586,86.47840600914401,191.0,480.0,480.0,499.0,582.0,17.0,499.52941176470586,80.49543282623154,354.0,480.0,523.0,582.0,595.0,17.0,219.58823529411765,88.54946274789688,70.0,170.0,218.0,238.0,460.0,17.0,7010.588235294118,2222.8795249299815,4660.0,5790.0,6120.0,7510.0,13600.0
